Tamanho,Comparações,Trocas,Tempo(ms)
1000,499500,500,3
1000,499500,500,2
1000,499500,500,0
1000,499499,501,0
1000,499497,501,0
1000,499494,507,0
1000,499490,507,0
1000,499485,517,0
1000,499479,517,0
1000,499472,531,0
1000,499464,531,0
1000,499455,549,0
1000,499445,549,0
1000,499434,571,0
1000,499422,571,0
1000,499409,597,0
1000,499395,597,0
1000,499380,627,0
1000,499364,627,0
1000,499347,661,0
1000,499329,661,0
1000,499310,699,0
1000,499290,699,0
1000,499269,741,0
1000,499247,741,0
1000,499224,787,0
1000,499200,787,0
1000,499175,837,0
1000,499149,837,0
1000,499122,891,0
1000,499094,891,0
1000,499065,949,0
1000,499035,949,0
1000,499004,1011,0
1000,498972,1011,0
1000,498939,1077,0
1000,498905,1077,0
1000,498870,1147,0
1000,498834,1147,0
1000,498797,1221,0
1000,498759,1221,0
1000,498720,1299,0
1000,498680,1299,0
1000,498639,1381,0
1000,498597,1381,0
1000,498554,1467,0
1000,498510,1467,0
1000,498465,1557,0
1000,498419,1557,0
1000,498372,1651,0
1000,498324,1651,0
1000,498275,1749,0
1000,498225,1749,0
1000,498174,1851,0
1000,498122,1851,0
1000,498069,1957,0
1000,498015,1957,0
1000,497960,2067,0
1000,497904,2067,0
1000,497847,2181,0
1000,497789,2181,0
1000,497730,2299,0
1000,497670,2299,0
1000,497609,2421,0
1000,497547,2421,0
1000,497484,2547,0
1000,497420,2547,0
1000,497355,2677,0
1000,497289,2677,0
1000,497222,2811,0
1000,497154,2811,0
1000,497085,2949,0
1000,497015,2949,0
1000,496944,3091,0
1000,496872,3091,0
1000,496799,3237,0
1000,496725,3237,0
1000,496650,3387,0
1000,496574,3387,0
1000,496497,3541,0
1000,496419,3541,0
1000,496340,3699,0
1000,496260,3699,0
1000,496179,3861,0
1000,496097,3861,0
1000,496014,4027,0
1000,495930,4027,0
1000,495845,4197,0
1000,495759,4197,0
1000,495672,4371,0
1000,495584,4371,0
1000,495495,4549,0
1000,495405,4549,0
1000,495314,4731,0
1000,495222,4731,0
1000,495129,4917,0
1000,495035,4917,0
1000,494940,5107,0
1000,494844,5107,0
1000,494747,5301,0
1000,494649,5301,0
1000,494550,5499,0
1000,494450,5499,0
1000,494349,5701,0
1000,494247,5701,0
1000,494144,5907,0
1000,494040,5907,0
1000,493935,6117,0
1000,493829,6117,0
1000,493722,6331,0
1000,493614,6331,0
1000,493505,6549,0
1000,493395,6549,0
1000,493284,6771,0
1000,493172,6771,0
1000,493059,6997,0
1000,492945,6997,0
1000,492830,7227,0
1000,492714,7227,0
1000,492597,7461,0
1000,492479,7461,0
1000,492360,7699,0
1000,492240,7699,0
1000,492119,7941,0
1000,491997,7941,0
1000,491874,8187,0
1000,491750,8187,0
1000,491625,8437,0
1000,491499,8437,0
1000,491372,8691,0
1000,491244,8691,0
1000,491115,8949,0
1000,490985,8949,0
1000,490854,9211,0
1000,490722,9211,0
1000,490589,9477,0
1000,490455,9477,0
1000,490320,9747,0
1000,490184,9747,0
1000,490047,10021,0
1000,489909,10021,0
1000,489770,10299,0
1000,489630,10299,0
1000,489489,10581,0
1000,489347,10581,0
1000,489204,10867,0
1000,489060,10867,0
1000,488915,11157,0
1000,488769,11157,0
1000,488622,11451,0
1000,488474,11451,0
1000,488325,11749,0
1000,488175,11749,0
1000,488024,12051,0
1000,487872,12051,0
1000,487719,12357,0
1000,487565,12357,0
1000,487410,12667,0
1000,487254,12667,0
1000,487097,12981,0
1000,486939,12981,0
1000,486780,13299,0
1000,486620,13299,0
1000,486459,13621,0
1000,486297,13621,0
1000,486134,13947,0
1000,485970,13947,0
1000,485805,14277,0
1000,485639,14277,0
1000,485472,14611,0
1000,485304,14611,0
1000,485135,14949,0
1000,484965,14949,0
1000,484794,15291,0
1000,484622,15291,0
1000,484449,15637,0
1000,484275,15637,0
1000,484100,15987,0
1000,483924,15987,0
1000,483747,16341,0
1000,483569,16341,0
1000,483390,16699,0
1000,483210,16699,0
1000,483029,17061,0
1000,482847,17061,0
1000,482664,17427,0
1000,482480,17427,0
1000,482295,17797,0
1000,482109,17797,0
1000,481922,18171,0
1000,481734,18171,0
1000,481545,18549,0
1000,481355,18549,0
1000,481164,18931,0
1000,480972,18931,0
1000,480779,19317,0
1000,480585,19317,0
1000,480390,19707,0
1000,480194,19707,0
1000,479997,20101,0
1000,479799,20101,0
1000,479600,20499,0
1000,479400,20499,0
1000,479199,20901,0
1000,478997,20901,0
1000,478794,21307,0
1000,478590,21307,0
1000,478385,21717,0
1000,478179,21717,0
1000,477972,22131,0
1000,477764,22131,0
1000,477555,22549,0
1000,477345,22549,0
1000,477134,22971,0
1000,476922,22971,0
1000,476709,23397,0
1000,476495,23397,0
1000,476280,23827,0
1000,476064,23827,0
1000,475847,24261,0
1000,475629,24261,0
1000,475410,24699,0
1000,475190,24699,0
1000,474969,25141,0
1000,474747,25141,0
1000,474524,25587,0
1000,474300,25587,0
1000,474075,26037,0
1000,473849,26037,0
1000,473622,26491,0
1000,473394,26491,0
1000,473165,26949,0
1000,472935,26949,0
1000,472704,27411,0
1000,472472,27411,0
1000,472239,27877,0
1000,472005,27877,0
1000,471770,28347,0
1000,471534,28347,0
1000,471297,28821,0
1000,471059,28821,0
