M,TempoM(ms)
0,3.2808
1,3.111
2,1.3853
3,1.1955
4,0.8368
5,0.8711
6,0.828
7,0.8376
8,0.8616
9,0.8853
10,0.9169
11,0.8643
12,0.8744
13,0.799
14,0.8153
15,0.8175
16,0.8632
17,0.8666
18,0.8046
19,0.8559
20,0.9302
21,0.8214
22,0.8167
23,0.9285
24,0.8688
25,0.8309
26,0.8319
27,0.8244
28,0.887
29,1.1937
30,0.8502
31,0.8277
32,0.8351
33,0.861
34,0.8551
35,1.0952
36,0.8651
37,0.8699
38,0.9256
39,0.8208
40,0.864
41,0.893
42,0.8308
43,0.8781
44,0.8067
45,0.8108
46,0.8335
47,1.2412
48,0.852
49,0.8148
50,0.8687
51,0.8297
52,0.968
53,0.8254
54,0.8271
55,0.8949
56,0.9371
57,0.9818
58,0.8233
59,0.8338
60,0.8135
61,0.8493
62,0.8337
63,0.8411
64,0.9351
65,0.9306
66,1.017
67,0.8396
68,0.8471
69,0.8147
70,0.8004
71,0.8328
72,0.7801
73,0.8192
74,0.8555
75,1.1888
76,0.8089
77,0.7828
78,0.8358
79,0.797
80,0.903
81,0.8462
82,0.9225
83,0.873
84,0.928
85,1.0076
86,1.2916
87,1.0126
88,0.8901
89,0.879
90,0.8511
91,1.0085
92,0.8705
93,1.1743
94,0.8987
95,0.8221
96,0.7745
97,0.7756
98,0.7984
99,0.7858
100,0.792
101,0.9174
102,1.1401
103,0.8295
104,0.792
105,0.9031
106,0.7991
107,0.7919
108,0.8359
109,0.7852
110,0.8264
111,0.8083
112,1.0338
113,0.8777
114,0.8548
115,0.826
116,0.7579
117,0.7734
118,0.7698
119,0.862
120,0.9683
121,0.8673
122,0.8441
123,0.794
124,0.779
125,0.7932
126,0.8291
127,0.7958
128,0.7827
129,0.8217
130,0.9162
131,0.8495
132,0.7899
133,0.8715
134,0.7996
135,0.788
136,0.8261
137,0.8271
138,0.8892
139,1.0931
140,1.0361
141,0.7823
142,0.7861
143,0.817
144,0.7937
145,0.7862
146,0.7956
147,0.8
148,0.8782
149,0.9052
150,0.7958
151,0.8062
152,0.8099
153,0.7755
154,0.7704
155,0.8225
156,0.8399
157,0.8316
158,0.9124
159,0.8787
160,0.7896
161,0.8673
162,0.7866
163,0.7927
164,0.7735
165,0.789
166,0.7872
167,0.84
168,0.8297
169,0.8922
170,0.9332
171,0.8026
172,0.7925
173,0.8486
174,0.9065
175,0.8136
176,0.844
177,0.9462
178,0.9956
179,0.9516
180,0.9291
181,1.0416
182,0.7989
183,0.8211
184,0.8165
185,0.985
186,0.9412
187,0.8644
188,0.7891
189,0.7875
190,0.8169
191,0.7886
192,0.7849
193,0.8592
194,0.821
195,0.8446
196,0.9004
197,0.8343
198,0.7835
199,0.7897
200,0.8451
201,0.8215
202,0.7934
203,0.7833
204,0.8812
205,0.9028
206,0.8988
207,0.7898
208,0.8801
209,0.7789
210,0.7798
211,0.8193
212,0.7876
213,0.792
214,0.8374
215,1.0667
216,0.8402
217,0.8914
218,0.9109
219,0.8158
220,0.7985
221,0.8194
222,0.8532
223,0.8457
224,0.9359
225,0.957
226,0.8195
227,0.8063
228,0.7994
229,1.367
230,1.4859
231,1.7766
232,1.5562
233,1.5312
234,1.4519
235,1.3073
236,1.4293
237,1.5691
238,1.5027
239,1.2364
240,1.3824
241,1.4403
242,1.7556
243,1.355
244,0.8672
245,1.1022
246,1.4062
247,1.584
248,1.1594
249,1.1958
250,1.5381
251,1.0988
252,0.8684
253,0.8416
254,0.9634
255,0.9407
256,1.161
257,0.8089
258,0.7861
259,0.8506
260,0.7813
261,0.7818
262,0.8044
263,0.8237
264,0.9408
265,1.0036
266,0.8715
267,0.8139
268,0.8031
269,0.7903
270,0.832
271,0.8096
272,0.7916
273,0.8535
274,0.9643
275,0.8663
276,0.7918
277,0.8331
278,0.7901
279,0.81
280,0.7897
281,0.8058
282,0.7913
283,0.8551
284,0.9109
285,0.8194
286,0.7956
287,0.7882
288,0.8202
289,0.7961
290,0.8019
291,0.8454
292,0.8233
293,1.0123
294,0.8578
295,0.8219
296,0.7987
297,0.7893
298,0.8073
299,0.8088
300,0.8003
301,0.8161
302,0.8564
303,0.9479
304,0.8384
305,0.7834
306,0.8229
307,0.8003
308,0.8016
309,0.8112
310,0.7959
311,0.789
312,0.8446
313,0.9878
314,0.8004
315,0.7957
316,0.7917
317,0.8096
318,0.7956
319,0.7861
320,0.8278
321,0.9663
322,0.8554
323,0.8332
324,0.8512
325,0.8073
326,0.7936
327,0.8155
328,0.794
329,0.784
330,0.8018
331,0.8481
332,0.9114
333,0.8177
334,0.7828
335,0.7988
336,0.8189
337,0.8294
338,0.9399
339,0.9342
340,0.8858
341,1.1247
342,0.9497
343,0.9767
344,1.0084
345,0.8845
346,1.1824
347,1.1544
348,1.031
349,1.1136
350,0.9574
351,0.9713
352,0.8369
353,0.8869
354,0.8537
355,0.9099
356,1.1787
357,1.1715
358,0.839
359,0.9821
360,0.8356
361,0.8208
362,0.9164
363,0.8771
364,0.8662
365,19.6655
366,0.9156
367,0.8888
368,0.8505
369,0.8938
370,1.2349
371,1.4731
372,0.832
373,0.9781
374,0.8272
375,0.8373
376,0.8547
377,0.9499
378,0.9279
379,1.0319
380,1.0219
381,0.82
382,0.8184
383,0.8242
384,0.8099
385,0.7785
386,0.8398
387,1.4183
388,0.9211
389,0.8332
390,0.8125
391,0.8071
392,0.8151
393,0.8303
394,0.8997
395,0.853
396,0.9677
397,0.8089
398,0.7968
399,0.9445
400,0.8084
401,0.7929
402,0.8153
403,0.8238
404,0.9615
405,1.1328
406,0.8832
407,0.8058
408,0.7931
409,0.7974
410,0.8122
411,0.7965
412,0.7887
413,0.818
414,0.8657
415,0.8473
416,0.8043
417,0.8874
418,0.8067
419,0.7953
420,0.8279
421,0.8105
422,0.8022
423,0.8214
424,0.9043
425,0.8702
426,0.823
427,0.8074
428,0.8681
429,0.7887
430,0.793
431,0.8454
432,0.8257
433,0.8344
434,0.9312
435,0.8238
436,0.7905
437,0.7839
438,0.8536
439,0.8131
440,0.7976
441,0.7925
442,0.9941
443,0.9285
444,0.8565
445,0.8141
446,0.8053
447,0.8008
448,0.7949
449,0.8452
450,0.793
451,0.7944
452,1.0076
453,0.9648
454,0.8163
455,0.7965
456,0.8442
457,0.8073
458,0.81
459,0.7925
460,0.8371
461,0.8883
462,0.9002
463,0.8845
464,0.8207
465,0.7862
466,0.7908
467,0.9075
468,0.8087
469,0.8527
470,0.8793
471,1.0433
472,0.8047
473,0.7885
474,0.8294
475,0.8004
476,0.8063
477,0.7947
478,0.8399
479,0.8372
480,0.8629
481,0.7978
482,0.9537
483,0.9089
484,0.9416
485,0.8135
486,0.8025
487,0.8027
488,1.0012
489,0.8641
490,0.9281
491,0.8196
492,0.8186
493,0.8042
494,0.9261
495,0.9144
496,0.831
497,0.9
498,0.8966
499,1.026
500,0.9051
501,0.8435
502,0.8886
503,0.8174
504,0.8198
505,0.8755
506,0.9324
507,0.8864
508,0.9225
509,0.8773
510,0.798
511,0.8227
512,0.8415
513,0.8079
514,0.8284
515,0.8044
516,0.9348
517,1.0539
518,0.8665
519,0.8246
520,0.842
521,0.8207
522,0.8153
523,0.8319
524,0.8238
525,0.9458
526,0.9844
527,0.9042
528,0.8148
529,0.8938
530,0.797
531,0.8163
532,0.8203
533,0.8653
534,0.8212
535,0.9104
536,0.923
537,0.8911
538,0.7952
539,0.8333
540,0.859
541,0.8197
542,0.8046
543,0.9748
544,0.8735
545,0.922
546,0.8318
547,0.8721
548,0.8106
549,0.8677
550,0.8796
551,0.9795
552,0.9868
553,1.4752
554,1.024
555,0.8557
556,0.8485
557,0.8805
558,0.8227
559,0.8215
560,0.8145
561,0.8477
562,0.9563
563,0.8523
564,0.8481
565,0.8791
566,0.8707
567,0.8541
568,0.829
569,0.836
570,0.8583
571,0.973
572,0.8847
573,0.8343
574,0.822
575,0.8464
576,0.8164
577,0.8208
578,0.8532
579,0.9845
580,0.9404
581,0.9724
582,0.8233
583,0.8185
584,0.8716
585,0.8076
586,0.842
587,0.8011
588,0.861
589,0.9258
590,0.9359
591,0.8913
592,0.8207
593,0.8192
594,0.7959
595,0.8623
596,0.8399
597,0.8133
598,0.9142
599,1.019
600,0.8488
601,0.8802
602,0.799
603,0.8193
604,0.8461
605,0.8549
606,0.8815
607,0.866
608,0.9594
609,0.8797
610,0.8532
611,0.8112
612,0.8096
613,0.8508
614,0.817
615,0.816
616,0.8747
617,1.0695
618,0.8879
619,0.8568
620,0.8414
621,0.812
622,0.8938
623,0.8086
624,0.9281
625,0.9613
626,0.9313
627,0.9579
628,0.8136
629,0.8306
630,0.812
631,0.8108
632,0.8564
633,0.7978
634,0.969
635,0.9489
636,1.0725
637,0.7998
638,0.8602
639,0.8469
640,0.8431
641,0.8165
642,0.8271
643,0.9825
644,0.9355
645,1.1573
646,0.8283
647,0.8205
648,0.8197
649,0.8665
650,0.8158
651,0.8525
652,0.8675
653,0.9177
654,1.0597
655,0.8368
656,0.8724
657,0.859
658,0.8219
659,0.8335
660,0.8537
661,0.851
662,1.0767
663,1.0468
664,0.8436
665,0.8484
666,0.8803
667,0.8987
668,0.9895
669,1.2732
670,1.2103
671,1.1898
672,0.8598
673,0.854
674,0.7917
675,1.0484
676,0.8204
677,0.8593
678,3.7706
679,0.8691
680,0.8465
681,0.8629
682,0.8308
683,0.8627
684,0.9369
685,1.0057
686,1.2247
687,0.8112
688,0.862
689,0.8212
690,0.8119
691,0.8664
692,0.8254
693,0.9113
694,1.0348
695,0.9383
696,0.8233
697,0.8169
698,0.85
699,0.8163
700,0.8183
701,1.8318
702,1.1412
703,1.1933
704,1.3518
705,0.9822
706,1.4606
707,1.155
708,1.1699
709,1.1269
710,1.1158
711,0.9494
712,1.075
713,0.9761
714,1.2101
715,0.9829
716,1.1527
717,1.3938
718,0.9804
719,1.0675
