Tamanho ,Compara��es ,Trocas ,Tempo(ms) ,M    ,TempoM(ms)
   1000 ,     499500 ,   500 ,        2 ,   0 ,         4
   1000 ,     499500 ,   500 ,        2 ,   1 ,         3
   1000 ,     499500 ,   500 ,        0 ,   2 ,         1
   1000 ,     499500 ,   500 ,        0 ,   3 ,         1
   1000 ,     499498 ,   500 ,        0 ,   4 ,         1
   1000 ,     499500 ,   501 ,        0 ,   5 ,         1
   1000 ,     499496 ,   501 ,        0 ,   6 ,         1
   1000 ,     499500 ,   502 ,        0 ,   7 ,         1
   1000 ,     499494 ,   502 ,        0 ,   8 ,         1
   1000 ,     499500 ,   503 ,        0 ,   9 ,         1
   1000 ,     499492 ,   503 ,        0 ,  10 ,         1
   1000 ,     499500 ,   504 ,        0 ,  11 ,         1
   1000 ,     499490 ,   504 ,        0 ,  12 ,         1
   1000 ,     499500 ,   505 ,        0 ,  13 ,         1
   1000 ,     499488 ,   505 ,        0 ,  14 ,         1
   1000 ,     499500 ,   506 ,        0 ,  15 ,         1
   1000 ,     499486 ,   506 ,        0 ,  16 ,         1
   1000 ,     499500 ,   507 ,        0 ,  17 ,         0
   1000 ,     499484 ,   507 ,        0 ,  18 ,         1
   1000 ,     499500 ,   508 ,        0 ,  19 ,         1
   1000 ,     499482 ,   508 ,        0 ,  20 ,         1
   1000 ,     499500 ,   509 ,        0 ,  21 ,         1
   1000 ,     499480 ,   509 ,        0 ,  22 ,         1
   1000 ,     499500 ,   510 ,        0 ,  23 ,         1
   1000 ,     499478 ,   510 ,        0 ,  24 ,         1
   1000 ,     499500 ,   511 ,        0 ,  25 ,         1
   1000 ,     499476 ,   511 ,        0 ,  26 ,         1
   1000 ,     499500 ,   512 ,        0 ,  27 ,         1
   1000 ,     499474 ,   512 ,        0 ,  28 ,         1
   1000 ,     499500 ,   513 ,        0 ,  29 ,         1
   1000 ,     499472 ,   513 ,        0 ,  30 ,         0
   1000 ,     499500 ,   514 ,        0 ,  31 ,         0
   1000 ,     499470 ,   514 ,        0 ,  32 ,         0
   1000 ,     499500 ,   515 ,        0 ,  33 ,         1
   1000 ,     499468 ,   515 ,        0 ,  34 ,         1
   1000 ,     499500 ,   516 ,        0 ,  35 ,         0
   1000 ,     499466 ,   516 ,        0 ,  36 ,         0
   1000 ,     499500 ,   517 ,        0 ,  37 ,         0
   1000 ,     499464 ,   517 ,        0 ,  38 ,         0
   1000 ,     499500 ,   518 ,        0 ,  39 ,         0
   1000 ,     499462 ,   518 ,        0 ,  40 ,         0
   1000 ,     499500 ,   519 ,        0 ,  41 ,         0
   1000 ,     499460 ,   519 ,        0 ,  42 ,         0
   1000 ,     499500 ,   520 ,        0 ,  43 ,         0
   1000 ,     499458 ,   520 ,        0 ,  44 ,         1
   1000 ,     499500 ,   521 ,        0 ,  45 ,         0
   1000 ,     499456 ,   521 ,        0 ,  46 ,         0
   1000 ,     499500 ,   522 ,        0 ,  47 ,         0
   1000 ,     499454 ,   522 ,        0 ,  48 ,         0
   1000 ,     499500 ,   523 ,        0 ,  49 ,         2
   1000 ,     499452 ,   523 ,        0 ,  50 ,         0
   1000 ,     499500 ,   524 ,        0 ,  51 ,         0
   1000 ,     499450 ,   524 ,        0 ,  52 ,         0
   1000 ,     499500 ,   525 ,        0 ,  53 ,         0
   1000 ,     499448 ,   525 ,        0 ,  54 ,         0
   1000 ,     499500 ,   526 ,        0 ,  55 ,         1
   1000 ,     499446 ,   526 ,        0 ,  56 ,         0
   1000 ,     499500 ,   527 ,        0 ,  57 ,         0
   1000 ,     499444 ,   527 ,        0 ,  58 ,         0
   1000 ,     499500 ,   528 ,        0 ,  59 ,         1
   1000 ,     499442 ,   528 ,        0 ,  60 ,         1
   1000 ,     499500 ,   529 ,        0 ,  61 ,         0
   1000 ,     499440 ,   529 ,        0 ,  62 ,         0
   1000 ,     499500 ,   530 ,        0 ,  63 ,         0
   1000 ,     499438 ,   530 ,        0 ,  64 ,         0
   1000 ,     499500 ,   531 ,        0 ,  65 ,         0
   1000 ,     499436 ,   531 ,        0 ,  66 ,         0
   1000 ,     499500 ,   532 ,        0 ,  67 ,         1
   1000 ,     499434 ,   532 ,        0 ,  68 ,         1
   1000 ,     499500 ,   533 ,        0 ,  69 ,         0
   1000 ,     499432 ,   533 ,        0 ,  70 ,         0
   1000 ,     499500 ,   534 ,        0 ,  71 ,         0
   1000 ,     499430 ,   534 ,        0 ,  72 ,         0
   1000 ,     499500 ,   535 ,        0 ,  73 ,         0
   1000 ,     499428 ,   535 ,        0 ,  74 ,         0
   1000 ,     499500 ,   536 ,        0 ,  75 ,         0
   1000 ,     499426 ,   536 ,        0 ,  76 ,         1
   1000 ,     499500 ,   537 ,        0 ,  77 ,         0
   1000 ,     499424 ,   537 ,        0 ,  78 ,         0
   1000 ,     499500 ,   538 ,        0 ,  79 ,         0
   1000 ,     499422 ,   538 ,        0 ,  80 ,         0
   1000 ,     499500 ,   539 ,        0 ,  81 ,         0
   1000 ,     499420 ,   539 ,        0 ,  82 ,         0
   1000 ,     499500 ,   540 ,        0 ,  83 ,         0
   1000 ,     499418 ,   540 ,        0 ,  84 ,         0
   1000 ,     499500 ,   541 ,        0 ,  85 ,         0
   1000 ,     499416 ,   541 ,        0 ,  86 ,         0
   1000 ,     499500 ,   542 ,        0 ,  87 ,         0
   1000 ,     499414 ,   542 ,        0 ,  88 ,         0
   1000 ,     499500 ,   543 ,        0 ,  89 ,         0
   1000 ,     499412 ,   543 ,        0 ,  90 ,         0
   1000 ,     499500 ,   544 ,        0 ,  91 ,         0
